avgAnnCount,incidenceRate,studyPerCap,AvgHouseholdSize,PctNoHS18_24,PctHS18_24,PctUnemployed16_Over,PctBlack,PctAsian,PctOtherRace,BirthRate,TARGET_deathRate,binnedInc,Geography
94.0,445.2,0.0,2.68,9.8,36.1,9.0,0.837,0.377,0.03,2.293,189.7,BIN_1,EAST
499.0,463.1,89.365,0.026,17.0,40.8,9.7,7.333,1.052,0.906,4.872,206.1,BIN_5,EAST
152.0,501.8,0.0,2.5,21.3,42.9,9.2,0.675,0.092,0.129,4.22,236.7,BIN_2,EAST
80.0,396.6,0.0,2.51,32.6,46.2,14.4,0.498,0.0,0.0,5.469,196.3,BIN_1,EAST
164.0,481.6,0.0,2.26,11.1,30.6,6.4,1.745,0.516,0.063,4.971,186.2,BIN_3,EAST
564.0,483.4,330.428,2.32,9.7,28.2,6.8,4.818,1.19,0.228,4.522,194.0,BIN_1,EAST
50.0,459.9,0.0,2.44,11.6,31.4,18.1,0.093,0.053,0.026,4.78,226.5,BIN_1,EAST
70.0,591.0,4938.272,2.62,19.5,51.1,12.3,0.0,0.0,0.044,8.753,212.9,BIN_1,EAST
25.0,234.0,0.0,2.85,26.2,61.7,6.5,1.085,0.085,0.0,6.016,185.6,BIN_2,EAST
280.0,457.0,0.0,2.47,17.3,49.3,9.2,5.161,0.103,0.231,6.526,217.0,BIN_1,EAST
45.0,463.1,0.0,2.4,7.8,29.4,9.4,10.898,0.324,1.354,2.328,209.9,BIN_1,EAST
58.0,356.3,0.0,0.028,16.3,41.5,6.7,1.38,0.0,0.11,3.528,128.0,BIN_2,EAST
250.0,494.9,0.0,2.28,22.4,36.6,7.2,2.299,0.387,0.426,4.354,195.1,BIN_1,EAST
145.0,475.1,0.0,2.25,21.5,47.4,8.1,1.423,0.034,0.098,2.283,212.1,BIN_1,EAST
218.0,495.0,0.0,2.32,20.0,23.8,7.2,2.238,0.248,0.0,5.693,184.1,BIN_4,EAST
68.0,374.9,0.0,2.69,24.9,54.2,7.9,4.356,0.466,0.215,2.955,153.0,BIN_2,EAST
449.0,506.6,160.084,2.48,17.7,38.6,7.4,1.82,0.526,0.155,5.06,206.7,BIN_2,EAST
182.0,475.8,0.0,2.62,13.7,41.2,6.8,0.663,0.202,0.062,4.735,194.2,BIN_2,EAST
245.0,423.7,0.0,2.65,14.1,24.5,8.4,6.966,1.623,0.567,4.996,178.2,BIN_5,EAST
1285.0,508.7,191.152,2.28,20.4,33.0,7.0,4.476,1.101,0.189,4.091,205.4,BIN_3,EAST
124.0,553.0,0.0,2.48,15.6,41.8,7.2,0.535,0.262,0.0,4.374,218.4,BIN_2,EAST
139.0,513.2,46.696,2.69,16.9,50.7,10.1,0.478,0.269,0.0,2.636,226.9,BIN_1,EAST
245.0,523.9,28.813,2.5,15.0,45.9,10.9,2.192,0.364,0.165,4.196,240.1,BIN_1,EAST
137.0,457.1,0.0,2.39,32.3,51.6,13.3,9.158,0.0,0.572,3.86,234.8,BIN_1,EAST
208.0,456.3,0.0,2.36,8.5,45.9,7.0,0.859,0.406,0.172,3.174,184.6,BIN_3,EAST
168.0,463.4,1146.577,2.44,23.1,42.5,10.3,0.725,0.059,0.099,3.669,209.5,BIN_1,EAST
418.0,493.8,81.747,2.39,14.0,37.3,5.1,5.857,0.654,0.178,4.808,210.0,BIN_1,EAST
170.0,456.6,0.0,2.4,9.5,48.4,8.8,3.145,0.299,0.169,7.391,198.4,BIN_2,EAST
163.0,507.0,0.0,2.38,17.2,47.3,14.1,1.415,0.409,0.328,2.796,240.8,BIN_1,EAST
382.0,444.5,95.936,2.56,3.5,23.8,5.8,3.597,3.15,0.353,4.002,155.9,BIN_3,EAST
86.0,434.6,0.0,2.3,10.6,42.0,7.3,0.695,0.0,0.0,6.077,190.7,BIN_1,EAST
105.0,425.4,0.0,2.36,13.3,53.1,12.3,0.773,0.418,0.0,4.09,209.7,BIN_3,EAST
160.0,455.5,0.0,2.39,14.7,44.2,8.4,0.035,0.208,0.0,3.346,199.8,BIN_1,EAST
308.0,500.9,301.862,2.24,8.9,26.7,5.5,4.152,0.85,0.289,3.257,184.4,BIN_2,EAST
45.0,381.8,0.0,2.35,25.9,41.3,4.9,2.729,0.041,0.108,7.612,139.8,BIN_2,EAST
45.0,458.9,0.0,2.43,9.0,47.1,8.2,0.275,0.0,0.0,2.966,213.3,BIN_3,EAST
50.0,384.8,0.0,2.24,10.0,54.9,5.7,1.483,0.0,0.0,4.257,176.8,BIN_1,EAST
183.0,435.3,0.0,2.52,18.0,44.6,7.0,3.972,0.157,0.328,4.038,169.8,BIN_2,EAST
328.0,497.2,211.089,2.6,7.7,43.6,3.7,1.5,0.339,0.17,6.034,171.5,BIN_5,EAST
482.0,469.6,12.902,2.4,11.9,41.1,6.6,8.281,1.189,0.525,3.779,198.2,BIN_2,EAST
161.0,405.2,0.0,2.35,24.3,35.7,6.7,1.924,0.177,0.089,4.231,168.6,BIN_2,EAST
72.0,502.0,0.0,2.56,23.1,38.0,10.6,0.473,0.0,0.03,6.268,214.7,BIN_3,EAST
89.0,449.2,0.0,2.48,26.0,45.8,8.9,0.02,0.13,0.205,2.353,204.0,BIN_1,EAST
76.0,377.1,0.0,2.22,20.0,46.2,10.0,5.065,0.148,0.192,3.813,170.4,BIN_1,EAST
87.0,400.9,0.0,2.45,9.2,44.6,9.5,0.948,0.96,0.035,6.801,172.2,BIN_2,EAST
56.0,528.4,0.0,2.26,7.0,50.6,7.6,0.229,0.602,0.0,3.869,168.1,BIN_1,EAST
61.0,468.3,0.0,2.48,19.0,44.1,10.9,0.166,0.0,0.022,1.989,199.1,BIN_2,EAST
142.0,453.7,0.0,2.57,9.1,39.1,8.0,1.099,0.236,0.053,5.301,189.5,BIN_2,EAST
236.0,433.2,24.408,2.47,13.4,43.3,9.9,0.361,0.133,0.214,4.112,183.8,BIN_1,EAST
65.0,511.9,114.22,2.28,10.4,54.6,14.8,0.123,0.37,0.0,4.204,259.5,BIN_1,EAST
120.0,514.6,0.0,2.46,19.8,52.5,8.1,0.118,0.47,0.0,6.161,202.6,BIN_2,EAST
35.0,455.3,0.0,2.4,21.1,31.6,8.4,0.839,0.0,0.12,5.969,185.8,BIN_2,EAST
554.0,488.8,173.507,2.37,15.8,36.5,8.6,1.059,0.608,0.252,6.239,185.5,BIN_2,EAST
134.0,447.8,0.0,2.48,23.3,33.7,10.1,0.783,0.0,0.127,6.019,235.4,BIN_1,EAST
164.0,467.9,0.0,2.47,21.5,44.6,10.1,3.051,0.391,0.719,3.861,206.0,BIN_2,CENTER
90.0,451.5,0.0,2.29,8.9,31.3,7.9,0.525,0.519,0.175,6.46,217.5,BIN_2,CENTER
254.0,412.1,1097.382,2.35,15.6,44.4,6.0,1.267,0.475,0.709,5.884,168.4,BIN_3,CENTER
88.0,369.9,0.0,2.16,14.2,28.8,7.2,0.664,0.445,0.252,5.547,171.7,BIN_3,CENTER
1214.0,479.1,1213.677,2.46,16.8,28.7,6.1,2.36,3.026,2.88,5.922,158.6,BIN_4,CENTER
71.0,385.7,151.607,2.29,14.5,39.0,3.7,0.473,0.09,0.848,7.175,166.4,BIN_4,CENTER
103.0,399.2,0.0,2.08,14.7,34.9,7.5,0.483,0.411,0.254,4.961,190.1,BIN_2,CENTER
238.0,474.1,0.0,2.66,14.6,27.9,3.1,0.779,2.412,0.696,4.331,157.9,BIN_5,CENTER
356.0,482.4,487.951,2.44,14.2,36.1,5.1,1.359,1.202,0.229,5.498,160.1,BIN_4,CENTER
184.0,455.2,0.0,2.65,37.3,35.4,4.8,0.403,0.446,0.626,9.864,157.6,BIN_3,CENTER
323.0,476.1,0.0,2.44,18.5,39.2,5.8,1.514,0.532,0.375,4.654,176.6,BIN_5,CENTER
109.0,466.4,122.018,2.38,8.9,48.5,6.5,1.79,0.37,0.146,5.3,176.4,BIN_3,CENTER
463.0,437.3,0.0,2.51,15.0,45.6,6.0,2.096,0.603,0.927,4.497,178.9,BIN_4,CENTER
208.0,449.3,1778.326,2.11,20.8,31.0,6.2,0.541,0.48,0.393,4.481,158.7,BIN_4,CENTER
187.0,354.7,0.0,2.28,10.9,26.9,7.0,1.103,1.137,0.265,6.15,192.8,BIN_3,CENTER
177.0,396.1,0.0,2.48,4.5,25.4,6.1,0.598,2.097,0.236,5.117,155.6,BIN_4,CENTER
454.0,440.9,675.775,2.43,6.9,26.6,5.8,0.738,3.448,0.233,4.346,163.4,BIN_4,CENTER
23.0,308.2,0.0,2.32,23.9,15.7,7.2,0.201,0.067,0.0,3.462,171.9,BIN_3,CENTER
579.0,477.0,235.356,2.4,10.6,33.8,5.3,1.165,1.316,1.864,4.542,159.4,BIN_4,CENTER
68.0,490.6,4306.062,2.33,18.9,42.2,10.1,0.492,0.153,0.0,7.25,166.4,BIN_2,CENTER
257.0,428.2,0.0,2.44,8.4,23.8,4.6,1.303,0.736,0.274,5.174,166.9,BIN_3,CENTER
187.0,420.0,0.0,2.47,10.5,40.9,3.5,0.297,0.64,0.41,5.46,158.4,BIN_4,CENTER
29.0,356.1,191.571,2.29,30.1,26.2,1.4,0.434,0.548,0.491,5.361,169.9,BIN_2,CENTER
20.0,400.6,0.0,2.21,11.9,14.8,3.1,1.223,0.193,0.418,7.993,187.4,BIN_3,CENTER
16.0,221.5,0.0,2.61,12.4,29.1,2.6,0.559,0.263,0.345,5.678,138.2,BIN_5,CENTER
24.0,350.1,0.0,2.21,17.2,34.4,1.4,0.071,0.0,0.024,5.013,156.3,BIN_3,CENTER
104.0,431.4,0.0,2.48,13.0,24.9,1.4,0.676,0.099,0.306,5.726,159.2,BIN_5,CENTER
39.0,392.0,0.0,2.33,3.6,17.7,3.0,3.342,0.021,0.732,5.982,142.1,BIN_4,CENTER
31.0,495.5,0.0,2.31,28.0,31.1,4.7,0.054,1.379,0.514,3.524,162.7,BIN_2,CENTER
72.0,389.2,0.0,2.31,13.6,25.8,2.0,0.933,0.224,0.702,6.993,164.7,BIN_4,CENTER
1962.668,453.549,0.0,2.51,19.8,39.3,11.9,2.371,2.668,3.645,7.724,211.0,BIN_3,WEST
1962.668,453.549,0.0,2.37,17.3,38.6,8.5,0.554,1.306,3.5,5.194,145.2,BIN_5,WEST
1962.668,453.549,0.0,2.87,19.0,33.7,5.5,1.29,0.927,2.562,6.701,143.2,BIN_5,WEST
1962.668,453.549,0.0,2.35,1.2,62.7,11.9,0.0,0.0,7.975,4.327,262.1,BIN_3,WEST
1962.668,453.549,0.0,2.17,48.1,19.2,4.7,0.12,0.0,1.438,2.413,178.7,BIN_5,WEST
1962.668,453.549,0.0,2.74,31.9,40.2,7.8,0.451,0.316,4.371,5.517,191.5,BIN_5,WEST
1962.668,453.549,0.0,2.79,24.3,51.6,12.0,0.135,0.807,2.371,11.632,123.8,BIN_5,WEST
1962.668,453.549,0.0,2.55,30.1,38.4,11.8,2.926,0.077,0.905,4.52,127.4,BIN_3,WEST
1962.668,453.549,0.0,2.63,30.2,36.7,13.6,0.937,1.307,5.426,4.63,195.7,BIN_4,WEST
1962.668,453.549,0.0,0.022,6.1,42.3,15.4,1.314,4.095,4.358,9.518,254.3,BIN_2,WEST
1962.668,453.549,0.0,0.024,32.3,41.2,13.4,2.564,1.431,5.159,6.303,213.5,BIN_3,WEST
1962.668,453.549,0.0,2.29,38.0,28.9,9.5,4.82,0.164,2.916,14.621,121.8,BIN_4,WEST
1962.668,453.549,0.0,2.2,16.9,43.5,10.3,0.433,1.451,0.204,1.178,132.6,BIN_5,WEST
1962.668,453.549,0.0,2.71,23.9,47.1,10.6,4.171,0.742,0.922,5.47,188.4,BIN_5,WEST
1962.668,453.549,36.683,2.43,17.4,33.7,11.3,0.965,2.988,7.25,4.262,193.5,BIN_3,WEST
411.0,508.6,329.81,2.42,15.4,37.9,5.3,0.543,1.066,0.323,4.824,182.6,BIN_5,EAST
360.0,481.8,0.0,2.22,14.8,44.4,5.8,0.36,0.6,0.027,7.382,168.8,BIN_5,EAST
452.0,489.4,13.174,2.34,6.1,24.1,6.1,0.73,1.175,0.393,4.688,162.8,BIN_5,EAST
223.0,459.2,32.039,2.13,13.2,43.9,6.9,1.735,0.43,0.336,5.975,181.6,BIN_2,EAST
487.0,435.5,78.37,2.35,6.6,25.6,5.0,0.872,3.21,0.147,6.078,155.0,BIN_5,EAST
2075.0,482.2,105.735,2.55,12.9,31.8,5.9,2.389,3.608,0.934,5.056,163.2,BIN_5,EAST
879.0,507.6,378.394,2.49,10.9,29.9,5.2,1.182,1.635,0.407,3.902,173.1,BIN_5,EAST
1758.0,518.8,72.902,2.51,13.5,30.9,5.6,0.748,1.856,0.49,4.371,172.2,BIN_5,EAST
643.0,502.6,94.619,2.48,6.1,23.5,6.5,0.958,2.886,0.396,3.682,177.6,BIN_5,EAST
273.0,475.7,0.0,2.44,17.4,44.0,5.8,0.519,0.883,0.443,3.658,171.9,BIN_5,EAST
1624.0,505.5,43.761,2.64,12.3,32.4,12.5,15.564,8.286,5.107,4.697,179.5,BIN_4,EAST
847.0,559.1,179.463,2.3,14.3,33.2,10.0,4.733,1.151,1.612,5.433,193.1,BIN_5,EAST
847.0,511.3,128.325,2.86,17.6,40.9,11.1,20.474,1.347,10.278,5.846,189.6,BIN_3,EAST
1691.0,544.2,106.354,2.74,10.6,30.4,9.2,10.115,2.996,2.232,4.878,193.5,BIN_5,EAST
731.0,496.3,47.813,2.6,16.6,29.8,5.9,2.581,3.629,1.269,4.222,145.1,BIN_5,EAST
415.0,516.6,62.325,2.61,15.6,36.5,10.6,14.025,0.98,2.316,5.981,194.8,BIN_5,EAST
822.0,493.1,132.245,2.67,12.2,28.0,8.2,2.112,1.849,1.046,4.625,176.4,BIN_5,EAST
623.0,485.9,28.072,2.52,14.6,27.0,9.0,4.116,2.708,2.344,4.839,175.1,BIN_5,EAST
28.0,375.5,0.0,2.44,0.0,24.1,4.6,0.67,0.335,0.419,0.69,164.7,BIN_1,WEST
272.0,375.8,0.0,2.72,23.1,28.7,7.6,1.747,0.792,13.697,8.496,164.5,BIN_2,WEST
109.0,375.5,0.0,2.98,27.3,34.1,15.3,1.015,0.624,11.047,6.745,146.5,BIN_1,WEST
76.0,377.4,0.0,2.26,25.5,31.3,9.5,0.415,1.123,9.333,5.741,139.9,BIN_1,WEST
153.0,336.5,0.0,2.72,15.8,34.4,9.1,6.351,1.543,17.744,7.197,143.8,BIN_2,WEST
14.0,467.1,0.0,3.84,59.1,8.6,5.2,0.0,0.149,15.099,0.0,243.6,BIN_1,WEST
799.0,381.0,111.995,2.8,14.0,21.3,11.5,1.73,1.089,4.909,5.88,150.8,BIN_2,WEST
239.0,391.3,0.0,2.66,23.4,35.6,5.8,1.325,0.518,5.422,9.559,170.8,BIN_5,WEST
21.0,361.2,0.0,3.28,16.8,37.7,1.2,1.569,0.022,8.838,3.559,142.8,BIN_1,WEST
22.0,357.0,678.273,2.47,23.7,48.5,12.2,0.258,0.0,5.104,5.485,166.3,BIN_1,WEST
214.0,357.1,0.0,3.08,23.4,32.1,5.9,3.451,0.192,5.567,7.53,166.2,BIN_5,WEST
117.0,363.9,1287.333,2.33,24.2,26.0,7.3,0.622,0.181,8.499,8.533,123.4,BIN_2,WEST
94.0,406.2,0.0,2.34,23.5,26.0,3.5,0.485,6.695,2.737,5.544,114.5,BIN_5,WEST
144.0,420.6,0.0,2.7,21.1,44.3,13.8,1.174,0.383,5.668,8.629,181.8,BIN_1,WEST
205.0,332.9,0.0,3.97,25.1,35.8,15.5,0.815,0.969,3.735,7.322,137.7,BIN_1,WEST
286.0,393.0,15.537,2.63,16.0,34.1,12.7,3.708,1.346,8.292,8.222,161.1,BIN_2,WEST
56.0,412.7,0.0,2.59,34.7,36.3,5.0,2.207,0.632,4.265,4.063,190.6,BIN_1,WEST
164.0,351.8,0.0,2.86,23.8,31.7,11.4,0.526,0.36,19.004,3.902,155.5,BIN_1,WEST
68.0,360.7,0.0,2.62,12.2,12.8,9.7,2.496,0.563,19.028,4.393,163.5,BIN_1,WEST
435.0,356.1,202.127,3.04,23.0,31.0,9.2,0.552,0.515,5.155,6.096,136.7,BIN_3,WEST
100.0,424.2,0.0,2.25,17.1,51.8,6.8,0.456,0.241,3.409,8.199,190.3,BIN_1,WEST
84.0,404.4,0.0,3.43,21.6,31.9,7.3,0.749,0.697,5.745,2.688,167.8,BIN_1,WEST
154.0,339.0,0.0,2.44,23.4,36.4,10.7,0.531,0.807,18.371,4.707,135.2,BIN_1,WEST
108.0,558.5,64.579,2.81,32.0,30.9,11.2,1.268,0.025,2.889,2.988,164.3,BIN_1,WEST
18.0,303.0,0.0,2.39,15.4,23.7,2.1,2.835,0.207,14.012,3.537,151.6,BIN_1,WEST
334.0,402.3,330.09,2.78,18.6,36.2,12.4,1.126,0.56,16.695,6.408,163.1,BIN_2,WEST
1775.0,505.9,420.194,2.35,7.2,23.6,6.4,12.558,5.673,1.315,3.774,176.1,BIN_5,EAST
282.0,490.7,0.0,2.36,7.2,21.4,9.2,1.408,1.196,0.478,4.845,177.2,BIN_2,EAST
1235.0,494.4,106.834,2.37,9.7,24.4,7.8,5.434,4.089,0.995,4.299,163.6,BIN_3,EAST
515.0,517.8,0.0,2.41,18.3,32.9,8.2,1.579,0.832,0.442,4.821,167.9,BIN_3,EAST
465.0,470.8,102.187,0.024,19.4,27.7,7.3,4.355,0.428,0.589,5.47,158.6,BIN_4,EAST
950.0,550.1,267.627,2.36,13.8,25.0,7.8,2.517,0.678,1.523,6.073,173.2,BIN_2,EAST
559.0,508.2,195.243,2.35,14.1,33.7,5.4,5.901,1.517,0.312,5.09,183.8,BIN_4,EAST
337.0,512.4,0.0,0.025,16.6,36.4,7.1,0.85,0.535,0.478,5.052,180.3,BIN_3,EAST
335.0,437.1,19.275,2.32,12.8,40.7,10.0,22.28,0.521,2.233,6.007,194.2,BIN_1,EAST
12.0,327.0,0.0,2.1,16.1,33.9,1.1,0.0,0.0,0.0,10.791,111.3,BIN_2,EAST
205.0,460.2,0.0,2.57,14.1,36.2,8.3,22.776,0.949,1.175,3.667,200.6,BIN_5,EAST
410.0,423.0,27.342,2.49,13.5,31.2,5.1,13.543,2.964,0.733,4.82,149.0,BIN_5,EAST
38.0,383.4,0.0,2.46,20.9,41.0,5.5,26.541,0.183,0.197,9.29,180.3,BIN_3,EAST
108.0,491.5,0.0,2.96,11.3,43.6,7.4,17.952,1.287,0.481,6.195,195.7,BIN_5,EAST
90.0,514.8,0.0,2.66,5.7,36.6,5.4,19.544,0.87,0.217,6.632,187.4,BIN_5,EAST
101.0,446.8,0.0,2.13,10.2,46.6,7.9,28.017,0.979,0.108,4.297,190.6,BIN_3,EAST
107.0,330.5,0.0,2.52,21.4,22.9,12.0,3.824,0.262,0.536,6.208,224.2,BIN_1,EAST
183.0,456.9,0.0,2.64,14.8,50.4,8.1,16.675,0.518,1.895,5.016,191.0,BIN_5,EAST
70.0,404.1,0.0,2.48,21.3,31.4,7.3,34.034,0.287,1.728,7.48,189.8,BIN_2,EAST
84.0,463.3,0.0,2.58,19.5,31.6,6.6,8.253,0.0,1.027,6.257,169.8,BIN_4,EAST
72.0,444.9,225.683,2.3,15.8,52.6,3.3,10.259,0.484,0.417,1.907,157.1,BIN_5,EAST
216.0,445.1,289.566,2.41,18.7,42.3,6.9,35.091,0.441,1.673,4.665,213.7,BIN_2,EAST
100.0,525.6,94.286,2.38,4.4,27.8,6.3,19.296,0.0,0.28,2.715,206.9,BIN_4,EAST
309.0,396.2,256.009,2.48,2.7,11.3,5.6,4.349,6.119,0.91,3.135,153.3,BIN_3,EAST
120.0,526.7,0.0,2.33,12.9,48.5,5.7,13.441,0.249,1.346,5.74,194.3,BIN_4,EAST
94.0,454.3,0.0,2.61,13.9,41.3,6.1,12.255,0.772,0.552,2.628,201.4,BIN_5,EAST
103.0,527.2,0.0,2.26,17.8,39.8,9.5,36.441,0.796,0.501,6.456,227.1,BIN_1,EAST
107.0,450.4,0.0,2.1,8.2,50.7,8.7,28.698,0.057,0.0,7.278,190.5,BIN_4,EAST
106.0,508.0,0.0,0.025,26.7,40.2,10.8,39.558,0.566,1.082,7.332,201.5,BIN_2,EAST
225.0,503.5,0.0,2.66,10.7,47.3,7.9,12.741,0.994,1.009,2.101,177.3,BIN_5,EAST
137.0,430.1,0.0,2.52,14.8,41.3,9.3,1.644,0.516,0.57,5.963,199.2,BIN_3,EAST
97.0,339.1,0.0,2.31,10.5,36.3,8.3,6.395,0.077,0.252,2.945,178.3,BIN_1,EAST
145.0,459.6,0.0,2.63,26.2,46.2,4.9,12.259,0.542,0.252,5.615,175.1,BIN_5,EAST
99.0,410.4,0.0,2.49,6.4,21.7,7.0,32.912,1.429,0.421,7.608,188.8,BIN_2,EAST
155.0,437.0,0.0,3.03,12.5,36.2,10.6,32.071,2.095,2.071,4.856,172.1,BIN_5,EAST
189.0,390.6,0.0,2.3,9.9,34.6,7.4,5.833,0.133,0.327,6.175,185.8,BIN_3,EAST
44.0,401.1,0.0,2.26,13.1,47.2,2.9,4.185,0.807,0.31,5.182,149.6,BIN_5,EAST
57.0,452.4,0.0,2.47,16.7,29.0,8.7,28.824,2.18,0.645,8.755,176.2,BIN_2,EAST
493.0,400.5,21.184,2.4,12.0,36.9,5.1,5.811,2.852,0.145,5.404,155.9,BIN_5,EAST
115.0,338.0,0.0,2.39,16.0,46.7,4.1,2.869,0.7,0.771,6.476,159.2,BIN_4,EAST
378.0,400.2,0.0,2.57,13.0,42.3,5.4,1.824,0.724,1.4,4.834,156.1,BIN_5,EAST
137.0,365.4,0.0,2.51,12.6,39.5,8.0,1.037,0.145,0.602,3.256,212.0,BIN_1,EAST
110.0,330.8,0.0,2.34,4.1,38.3,9.4,0.758,0.266,0.102,2.248,196.1,BIN_1,EAST
235.0,407.6,0.0,2.47,14.5,39.5,6.0,2.376,0.513,1.957,7.407,171.4,BIN_3,EAST
171.0,389.1,0.0,2.43,14.7,44.8,6.4,2.137,0.343,0.013,6.189,202.4,BIN_2,EAST
97.0,405.7,0.0,2.53,21.2,27.9,7.2,35.921,0.103,0.402,5.456,181.8,BIN_3,EAST
518.0,449.4,176.279,2.97,11.8,40.1,6.2,15.972,2.534,3.815,6.051,172.5,BIN_5,EAST
460.0,450.5,0.0,3.08,11.1,36.1,5.5,17.129,2.94,5.125,4.971,175.6,BIN_5,EAST
40.0,426.5,0.0,2.56,25.8,44.0,10.7,45.068,0.821,0.747,4.898,182.2,BIN_4,EAST
72.0,486.9,0.0,2.08,38.5,42.8,6.9,57.097,0.143,1.349,3.683,208.4,BIN_2,EAST
224.0,376.4,23.311,2.38,14.6,41.1,8.0,2.925,0.394,0.091,6.034,208.1,BIN_2,EAST
178.0,428.2,0.0,2.62,7.9,38.7,7.2,4.007,1.042,0.522,5.545,202.5,BIN_5,EAST
312.0,420.8,36.636,2.35,11.1,34.4,6.9,1.49,0.555,0.5,5.092,176.7,BIN_3,EAST
121.0,450.9,0.0,2.51,6.2,39.8,9.7,28.222,0.575,1.509,3.667,179.9,BIN_4,EAST
176.0,367.3,0.0,2.46,12.2,35.6,11.0,5.418,0.471,0.18,3.651,223.4,BIN_2,EAST
171.0,433.5,137.367,2.44,8.5,42.7,9.6,3.601,0.702,0.26,2.934,175.9,BIN_2,EAST
272.0,389.3,0.0,2.73,9.3,36.4,5.8,13.51,5.253,0.56,4.925,152.3,BIN_5,EAST
405.0,317.6,58.628,2.21,14.4,23.7,4.5,21.375,6.587,3.16,6.215,135.4,BIN_5,EAST
64.0,265.7,408.378,2.22,10.4,41.8,10.7,5.684,0.93,1.29,3.868,226.6,BIN_1,EAST
46.0,578.2,0.0,2.26,0.5,46.3,7.3,1.05,7.096,0.0,11.888,240.8,BIN_2,EAST
995.0,458.3,46.723,2.75,12.2,36.1,7.5,29.741,3.28,1.329,5.747,182.2,BIN_5,EAST
117.0,493.6,0.0,2.44,14.1,44.2,8.3,13.057,3.5,1.741,3.664,159.3,BIN_4,EAST
320.0,539.0,356.447,2.2,13.7,32.7,12.7,48.66,1.22,1.703,3.237,207.4,BIN_1,EAST
51.0,468.0,0.0,2.41,31.3,22.8,13.7,58.602,0.591,0.745,4.927,221.7,BIN_2,EAST
120.0,566.3,1280.319,2.46,2.6,24.6,8.9,23.3,2.475,3.669,4.269,180.3,BIN_4,EAST
709.0,491.9,168.555,2.51,8.8,28.3,9.8,50.084,2.31,1.15,4.729,190.3,BIN_3,EAST
190.0,591.1,57.102,2.69,2.9,15.7,6.5,7.122,4.102,1.181,2.565,150.5,BIN_2,EAST
139.0,547.6,0.0,2.53,31.5,36.5,12.8,38.085,1.463,4.242,5.969,244.9,BIN_2,EAST
391.0,495.0,388.413,2.37,5.4,21.9,8.0,28.444,2.844,0.75,5.961,194.5,BIN_2,EAST
108.0,364.1,0.0,3.27,21.6,25.2,7.5,14.258,5.243,4.44,6.934,155.2,BIN_5,EAST
773.0,457.2,159.004,2.5,9.4,31.3,9.1,40.386,3.062,1.58,5.237,191.9,BIN_4,EAST
985.0,480.5,523.554,2.53,6.9,33.5,10.9,42.146,3.392,2.18,6.373,193.6,BIN_2,EAST
22.0,461.0,3046.458,2.21,25.3,20.3,11.1,3.419,5.815,1.472,3.938,197.3,BIN_1,EAST
67.0,441.3,0.0,2.59,15.3,30.6,4.5,0.985,1.846,0.389,4.361,159.2,BIN_5,EAST
51.0,463.1,0.0,2.57,1.7,17.7,8.8,9.187,1.935,0.733,1.039,193.1,BIN_1,EAST
